CLOSED DATE,OPEID,SCHOOL NAME,LOCATION                                                       ,ADDRESS                                                       ,CITY          ,STATE,ZIP CODE
08/01/2021 ,00367406     ,INDEPENDENCE UNIVERSITY                                               ,STEVENS HENAGER COLLEGE - BOISE ID                                    ,1444 ENTERTAINMENT AVENUE                                              ,BOISE                    ,ID        ,83709-6733
08/01/2021 ,00367407     ,INDEPENDENCE UNIVERSITY                                               ,STEVENS HENAGER COLLEGE - LAYTON CAMPUS                               ,1660 WEST ANTELOPE DRIVE                                               ,LAYTON                   ,UT        ,84041-1156
08/01/2021 ,00367409     ,INDEPENDENCE UNIVERSITY                                               ,STEVENS HENAGER COLLEGE - INDEPENDENCE UNIVERSITY                     ,4021 SOUTH 700 EAST SUITE 400                                          ,SALT LAKE CITY           ,UT        ,84107-4719
08/01/2021 ,00549818     ,WICHITA STATE UNIVERSITY CAMPUS OF APPLIED SCIENCES AND TECHNOLOGY    ,WICHITA STATE UNIVERSITY CAMPUS OF APPLIED SCIENCES AND TECHNOLOGY-WES,3801 N WALKER AVENUE                                                   ,MAIZE                    ,KS        ,67101-0000
08/01/2021 ,02110800     ,CALIFORNIA COLLEGE SAN DIEGO                                          ,CALIFORNIA COLLEGE SAN DIEGO                                          ,700 BAY MARINA DRIVE                                                   ,NATIONAL CITY            ,CA        ,91950-7924
08/01/2021 ,02110802     ,CALIFORNIA COLLEGE SAN DIEGO                                          ,CALIFORNIA COLLEGE SAN DIEGO - SAN MARCOS                             ,277 RANCHEROS DRIVE SUITE 200                                          ,SAN MARCOS               ,CA        ,92069-2971
08/01/2021 ,02110803     ,CALIFORNIA COLLEGE SAN DIEGO                                          ,CALIFORNIA COLLEGE SAN DIEGO - COLLEGEAMERICA - PHOENIX               ,9801 NORTH METRO PARKWAY EAST                                          ,PHOENIX                  ,AZ        ,85051-1513
08/01/2021 ,02110804     ,CALIFORNIA COLLEGE SAN DIEGO                                          ,CALIFORNIA COLLEGE SAN DIEGO                                          ,6602 CONVOY COURT SUITE 100                                            ,SAN DIEGO                ,CA        ,92111-1009
08/01/2021 ,02578000     ,SANTA BARBARA BUSINESS COLLEGE                                        ,SANTA BARBARA BUSINESS COLLEGE                                        ,303 EAST PLAZA DRIVE                                                   ,SANTA MARIA              ,CA        ,93454-6943
07/31/2021 ,00102300     ,JUDSON COLLEGE                                                        ,JUDSON COLLEGE                                                        ,302 BIBB STREET                                                        ,MARION                   ,AL        ,36756-2504
07/31/2021 ,00155609     ,BRENAU UNIVERSITY                                                     ,BRENAU UNIVERSITY - JACKSONVILLE FLORIDA CAMPUS                       ,BANK OF AMERICA PLAZA 6622 SOUTHPOINT DRIVE S                          ,JACKSONVILLE             ,FL        ,32216-8093
07/30/2021 ,00190610     ,BUTLER COUNTY COMMUNITY COLLEGE                                       ,BUTLER COUNTY COMMUNITY COLLEGE - HOSPITALITY MANAGEMENT              ,BOSTON REC 6655 E ZIMMERLY                                             ,WICHITA                  ,KS        ,67207-2850
07/30/2021 ,02178900     ,JOLIE HEALTH AND BEAUTY ACADEMY                                       ,JOLIE HEALTH AND BEAUTY ACADEMY                                       ,1057A NORTH CHURCH STREET                                              ,HAZLETON                 ,PA        ,18202-1465
