CLOSED DATE,OPEID,SCHOOL NAME                                                        ,LOCATION                                                       ,ADDRESS                                                       ,CITY          ,STATE,ZIP CODE
07/31/2020 ,00537906     ,TENNESSEE COLLEGE OF APPLIED TECHNOLOGY-SHELBYVILLE                   ,TENNESSEE COLLEGE OF APPLIED TECHNOLOGY-SHELBYVILLE - SATELLITE CAMPUS,1940 ELK RIVER DAM ROAD                                                ,TULLAHOMA                ,TN        ,37388-9716
07/31/2020 ,02192400     ,MR. JOHN'S SCHOOL OF COSMETOLOGY ESTHETICS & NAILS                    ,MR. JOHN'S SCHOOL OF COSMETOLOGY ESTHETICS & NAILS                    ,1745 EAST ELDORADO                                                     ,DECATUR                  ,IL        ,62521-2041
08/01/2020 ,00245325     ,CENTRAL METHODIST UNIVERSITY                                          ,CENTRAL METHODIST UNIVERSITY - SLCC (ST. LOUIS COMMUNITY COLLEGE)     ,1360 GRANDVIEW DRIVE                                                   ,FLORISSANT               ,MO        ,63033-0000
08/01/2020 ,00245350     ,CENTRAL METHODIST UNIVERSITY                                          ,CENTRAL METHODIST UNIVERSITY - PARKLAND HEALTH CENTER                 ,1101 WEST LIBERTY STREET                                               ,FARMINGTON               ,MO        ,63640-1921
08/03/2020 ,00297615     ,UNIVERSITY OF NORTH CAROLINA -GREENSBORO                              ,UNIVERSITY OF NORTH CAROLINA -GREENSBORO - KISER MIDDLE SCHOOL        ,716 BENJAMIN PKWY                                                      ,GREENSBORO               ,NC        ,27408-8218
08/03/2020 ,00793314     ,FRONT RANGE COMMUNITY COLLEGE                                         ,FRONT RANGE COMMUNITY COLLEGE - FRCC LOVELAND                         ,800 SOUTH TAFT AVENUE                                                  ,LOVELAND                 ,CO        ,80537-6347
08/03/2020 ,00793315     ,FRONT RANGE COMMUNITY COLLEGE                                         ,FRONT RANGE COMMUNITY COLLEGE - PROSPECT CENTER                       ,1501 ACADEMY COURT                                                     ,FORT COLLINS             ,CO        ,80524-8955
08/09/2020 ,00467302     ,BAKER COLLEGE                                                         ,BAKER COLLEGE - CLINTON TOWNSHIP CAMPUS                               ,34950 LITTLE MACK                                                      ,CLINTON TOWNSHIP         ,MI        ,48035-4701
08/09/2020 ,00467317     ,BAKER COLLEGE                                                         ,BAKER COLLEGE - ALLEN PARK                                            ,4500 ENTERPRISE DRIVE                                                  ,ALLEN PARK               ,MI        ,48101-3033
08/09/2020 ,00467353     ,BAKER COLLEGE                                                         ,BAKER COLLEGE - FLINT                                                 ,1050 WEST BRISTOL ROAD                                                 ,FLINT                    ,MI        ,48507-5508
08/11/2020 ,01077914     ,PORTER AND CHESTER INSTITUTE                                          ,PORTER AND CHESTER INSTITUTE - CANTON                                 ,5 CAMPANELLI CIRCLE                                                    ,CANTON                   ,MA        ,02021-2480
08/12/2020 ,00226023     ,FERRIS STATE UNIVERSITY                                               ,FERRIS STATE UNIVERSITY - HOWELL                                      ,1240 PACKARD DRIVE                                                     ,HOWELL                   ,MI        ,48843-7339
08/13/2020 ,04132800     ,INLAND MASSAGE INSTITUTE                                              ,INLAND MASSAGE INSTITUTE                                              ,775 EAST HOLLAND AVENUE SUITE 110                                      ,SPOKANE                  ,WA        ,99218-5016
08/14/2020 ,00162308     ,NORTH IDAHO COLLEGE                                                   ,NORTH IDAHO COLLEGE - SILVER VALLEY CENTER                            ,323 MAIN STREET                                                        ,KELLOGG                  ,ID        ,83837-0000
08/15/2020 ,00369000     ,MARLBORO COLLEGE                                                      ,MARLBORO COLLEGE                                                      ,2582 SOUTH ROAD                                                        ,MARLBORO                 ,VT        ,05344-3668
08/15/2020 ,00369001     ,MARLBORO COLLEGE                                                      ,MARLBORO COLLEGE - GRADUATE CENTER                                    ,2582 SOUTH ROAD                                                        ,MARLBORO                 ,VT        ,05344-0000
08/17/2020 ,02098803     ,UNIVERSITY OF PHOENIX                                                 ,UNIVERSITY OF PHOENIX - BAY AREA CAMPUS (C)                           ,3590 NORTH FIRST STREET                                                ,SAN JOSE                 ,CA        ,95134-1805
08/20/2020 ,00207826     ,LOYOLA UNIVERSITY MARYLAND                                            ,LOYOLA UNIVERSITY MARYLAND - MONTESSORI NORTHWEST                     ,622 SOUTH EAST GRAND AVENUE                                            ,PORTLAND                 ,OR        ,97215-1636
08/21/2020 ,00299223     ,UNIVERSITY OF MARY                                                    ,UNIVERSITY OF MARY - PT ROSSER (PTR)                                  ,2600 EAST ROSSER                                                       ,BISMARCK                 ,ND        ,58501-5128
08/21/2020 ,00354916     ,BLINN COLLEGE                                                         ,BLINN COLLEGE - WORKFORCE EDUCATION TECHNICAL TRAINING CENTER         ,5503 RAYMOND STOTZER PARKWAY                                           ,COLLEGE STATION          ,TX        ,77845-3411
